player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
46,SF,27,90,10,25,2,0,6,17,7,28,0,0,0.278,0.347,0.5,0.847
J.D.Davis,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
47,PIT,28,96,16,24,5,0,6,15,16,21,4,1,0.25,0.353,0.49,0.843
AndrewMcCutchen,,,,,,,,,,,,,,,,,
DH,,,,,,,,,,,,,,,,,
48,AZ,28,105,19,28,7,2,5,12,7,17,1,0,0.267,0.325,0.514,0.839
KetelMarte,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
49,NYM,31,108,13,32,6,1,2,10,16,9,2,0,0.296,0.411,0.426,0.837
JeffMcNeil,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
50,NYY,31,112,14,32,5,0,5,14,11,26,0,2,0.286,0.372,0.464,0.836
AnthonyRizzo,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
51,CLE,31,118,17,34,9,1,3,17,17,13,5,2,0.288,0.372,0.458,0.83
JoseRamirez,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
52,TB,27,93,20,21,3,1,7,20,13,32,1,0,0.226,0.321,0.505,0.826
BrandonLowe,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
53,LAA,30,113,21,29,7,0,7,20,11,25,0,0,0.257,0.32,0.504,0.824
HunterRenfroe,,,,,,,,,,,,,,,,,
RF,,,,,,,,,,,,,,,,,
53,SD,32,110,19,25,7,0,5,17,31,33,1,0,0.227,0.397,0.427,0.824
JuanSoto,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
55,BOS,31,121,21,28,7,0,10,27,9,27,0,0,0.231,0.286,0.537,0.823
RafaelDevers,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
56,TEX,30,119,26,33,7,0,5,24,16,22,4,1,0.277,0.36,0.462,0.822
