player,team,w,l,era,g,gc,cg,sho,sv,svo,ip,h,r,er,hr,hb,bb,so,whip,avg
P,,,,,,,,,,,,,,,,,,,,
51,TOR,4,2,4.28,7,7,0,0,0,0,40,29,20,19,6,3,20,33,1.23,0.203
ChrisBassitt,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
52,NYY,2,2,4.35,7,7,0,0,0,0,39.1,25,20,19,7,2,12,44,0.94,0.177
DomingoGerman,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
53,BAL,4,2,4.4,8,8,0,0,0,0,47,50,23,23,6,1,13,31,1.34,0.279
KyleGibson,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
54,PHI,2,2,4.44,8,8,0,0,0,0,48.2,44,25,24,6,1,11,39,1.13,0.243
AaronNola,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
55,MIA,1,3,4.53,7,7,1,1,0,0,43.2,41,24,22,4,2,12,40,1.21,0.25
SandyAlcantara,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
56,PIT,3,3,4.54,7,7,0,0,0,0,37.2,44,21,19,8,0,11,32,1.46,0.289
RichHill,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
57,PIT,3,3,4.74,7,7,0,0,0,0,38,40,20,20,2,1,19,31,1.55,0.278
RoansyContreras,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
57,NYY,3,2,4.74,7,7,0,0,0,0,38,36,21,20,6,3,11,39,1.24,0.247
NestorCortes,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
59,TOR,1,2,4.83,8,8,0,0,0,0,41,43,25,22,6,4,25,32,1.66,0.265
AlekManoah,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
60,TOR,3,3,4.91,7,7,0,0,0,0,40.1,42,24,22,4,1,8,41,1.24,0.266
JoseBerrios,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
61,WSH,1,4,5.17,7,7,0,0,0,0,38.1,46,26,22,6,0,9,27,1.43,0.288
PatrickCorbin,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,
